riskAllele,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,mappedGenes,traitName,efoTraits
rs3118119-?,1e-14,-,NR,-,-,-,"LINC02988,RN7SL480P",Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs1260326-?,3e-08,-,NR,-,-,-,GCKR,Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs141428740-?,2e-08,-,NR,-,-,-,GCKR,Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs62141290-?,7e-10,-,NR,-,-,-,SPATA31H1,Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs74873433-?,1e-08,-,NR,-,-,-,BABAM2,Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs4614892-?,2e-08,-,NR,-,-,-,"RPL27AP3,SCHLAP1",Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs41499647-?,1e-77,-,NR,-,-,-,CACNA2D2,Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs13083728-?,1e-09,-,NR,-,-,-,"STIMATE-MUSTN1,MUSTN1",Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs6785570-?,1e-19,-,NR,-,-,-,ATP1B3,Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs148696809-?,3e-11,-,NR,-,-,-,"LINC01556,KRT18P1",Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs36134929-?,1e-09,-,NR,-,-,-,"TIAL1P1,FTH1P5",Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs6601411-?,5e-36,-,NR,-,-,-,MSRA-DT,Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs7307046-?,3e-14,-,NR,-,-,-,HDAC7,Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs12912342-?,1e-10,-,NR,-,-,-,SEC11A,Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs11697103-?,1e-77,-,NR,-,-,-,MACROD2,Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs6059908-?,5e-13,-,NR,-,-,-,"DYNLRB1,MAP1LC3A",Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs3787433-?,5e-15,-,NR,-,-,-,OSBPL2,Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs5994431-?,9e-09,-,NR,-,-,-,DEPDC5,Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG),"glomerular filtration rate,bipolar disorder"
rs34517439-?,1e-29,-,NR,-,-,-,"DNAJB4,GIPC2",Bipolar disorder or glomerular filtration rate estimated from cystatin (MTAG),"glomerular filtration rate,bipolar disorder"
rs12754946-T,1e-10,-,NR,-,-,-,AK5,Education attainment or bipolar disorder,"educational attainment,bipolar disorder"
rs9320913-A,6e-37,-,NR,-,-,-,"MIR2113,EIF4EBP2P3",Education attainment or bipolar disorder,"educational attainment,bipolar disorder"
rs10429537-C,7e-19,-,NR,-,-,-,"LINC01239,SUMO2P2",Education attainment or bipolar disorder,"educational attainment,bipolar disorder"
rs986406906-G,4e-13,-,0.9998,-,4.287 unit decrease,[4.28-4.3],C7orf33,Biological Grandparent (paternal): Bipolar Disorder,"bipolar disorder,family history"
rs541650762-G,3e-12,-,0.9996,-,3.638 unit decrease,[3.62-3.65],CCDC60,Biological Grandparent (paternal): Bipolar Disorder,"bipolar disorder,family history"
rs534919791-T,2e-13,-,0.9993,-,3.175 unit decrease,[3.15-3.2],"ATP11AUN,TUBGCP3",Biological Grandparent (paternal): Bipolar Disorder,"bipolar disorder,family history"
rs9834970-?,1e-08,-,NR,-,-,-,"HSPD1P6,LINC02033",Peptic ulcer disease or bipolar disorder (pleiotropy),"peptic ulcer disease,bipolar disorder"
rs688245-?,2e-08,-,NR,-,-,-,"MSRA-DT,MIR124-1HG",Peptic ulcer disease or bipolar disorder (pleiotropy),"peptic ulcer disease,bipolar disorder"
rs2717609-?,2e-08,-,NR,-,-,-,"LY6K,PSCA",Peptic ulcer disease or bipolar disorder (pleiotropy),"peptic ulcer disease,bipolar disorder"
rs102275-?,4e-09,-,NR,-,-,-,TMEM258,Peptic ulcer disease or bipolar disorder (pleiotropy),"peptic ulcer disease,bipolar disorder"
rs352139-?,4e-08,-,NR,-,-,-,TLR9,Gastroesophageal reflux disease or bipolar disorder (pleiotropy),"bipolar disorder,gastroesophageal reflux disease"
rs2388334-?,2e-08,-,NR,-,-,-,"EIF4EBP2P3,MIR2113",Gastroesophageal reflux disease or bipolar disorder (pleiotropy),"bipolar disorder,gastroesophageal reflux disease"
rs56355054-A,8e-07,-,NR,1.927,-,-,"PCSK5,OTX2P1",Antidepressant-induced mania,"bipolar disorder,antidepressant-induced side effect"
rs183292232-G,3e-12,-,0.9998,-,3.705 unit decrease,[3.69-3.72],"RNU6-508P,LINC01122",Biological Grandparent (maternal): Bipolar Disorder,"bipolar disorder,family history"
rs552029205-G,4e-11,-,0.9995,-,3.267 unit decrease,[3.24-3.29],DDX25,Biological Grandparent (maternal): Bipolar Disorder,"bipolar disorder,family history"
rs77817138-C,6e-12,-,0.9997,-,3.133 unit decrease,[3.11-3.16],"ANKRD11,ZNF778",Biological Grandparent (maternal): Bipolar Disorder,"bipolar disorder,family history"
rs184489828-C,9e-12,-,0.9997,-,2.47 unit decrease,[2.43-2.51],"CNTN5,RN7SL222P",Biological Mother: Bipolar Disorder,"bipolar disorder,family history"
rs6484218-A,4e-08,-,0.14,-,-,-,AMPD3,"Schizophrenia, bipolar disorder and depression (combined)","bipolar disorder,mental or behavioural disorder,major depressive disorder"
rs4982029-A,4e-06,-,0.02,-,-,-,NPAS3,"Schizophrenia, bipolar disorder and depression (combined)","bipolar disorder,mental or behavioural disorder,major depressive disorder"
rs7326068-A,3e-06,-,0.19,-,-,-,IFT88,"Schizophrenia, bipolar disorder and depression (combined)","bipolar disorder,mental or behavioural disorder,major depressive disorder"
rs3758354-C,3e-06,-,0.03,-,-,-,"ALDH1A1,ANXA1","Schizophrenia, bipolar disorder and depression (combined)","bipolar disorder,mental or behavioural disorder,major depressive disorder"
rs1001021-A,2e-06,-,0.02,-,-,-,MYO18B,"Schizophrenia, bipolar disorder and depression (combined)","bipolar disorder,mental or behavioural disorder,major depressive disorder"
rs6703335-?,4e-09,-,0.562,-,-,-,SDCCAG8,"Schizophrenia, schizoaffective disorder or bipolar disorder","bipolar disorder,schizophrenia,schizoaffective disorder"
rs2710323-?,3e-08,-,0.466,-,-,-,ITIH1,"Schizophrenia, schizoaffective disorder or bipolar disorder","bipolar disorder,schizophrenia,schizoaffective disorder"
rs17693963-?,2e-09,-,0.904,-,-,-,"GPR89P,RSL24D1P1","Schizophrenia, schizoaffective disorder or bipolar disorder","bipolar disorder,schizophrenia,schizoaffective disorder"
rs4721295-?,6e-10,-,0.378,-,-,-,MAD1L1,"Schizophrenia, schizoaffective disorder or bipolar disorder","bipolar disorder,schizophrenia,schizoaffective disorder"
rs6558872-?,5e-08,-,0.571,-,-,-,CSMD1,"Schizophrenia, schizoaffective disorder or bipolar disorder","bipolar disorder,schizophrenia,schizoaffective disorder"
rs6728642-A,5e-08,-,NR,-,-,-,FAM178B,Bipolar disorder lithium response (continuous) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs62200793-T,1e-08,-,NR,-,-,-,ZNF804A,Bipolar disorder lithium response (continuous) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs7588746-A,4e-08,-,NR,-,-,-,"SPATS2L,MAIP1",Bipolar disorder lithium response (continuous) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs3919583-A,5e-09,-,NR,-,-,-,"RNU6-727P,LINC02488",Bipolar disorder lithium response (continuous) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs144373461-A,1e-17,-,NR,-,-,-,HLA-F-AS1,Bipolar disorder lithium response (continuous) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs209474-A,2e-08,-,NR,-,-,-,HLA-DMA,Bipolar disorder lithium response (continuous) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs1521470-A,3e-08,-,NR,-,-,-,ADCY1,Bipolar disorder lithium response (continuous) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs79403677-T,2e-08,-,NR,-,-,-,FAM177A1,Bipolar disorder lithium response (continuous) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs324899-A,2e-08,-,NR,-,-,-,MIR9-2HG,Bipolar disorder lithium response (categorical) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs6942227-A,3e-08,-,NR,-,-,-,CMAHP,Bipolar disorder lithium response (categorical) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs142425863-T,5e-11,-,NR,-,-,-,HLA-F-AS1,Bipolar disorder lithium response (categorical) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs59724122-T,5e-09,-,NR,-,-,-,GULOP,Bipolar disorder lithium response (categorical) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs61123830-A,5e-08,-,NR,-,-,-,GRAMD1B,Bipolar disorder lithium response (categorical) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs7959663-C,3e-08,-,NR,-,-,-,MYO1H,Bipolar disorder lithium response (categorical) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs66486766-A,1e-11,-,NR,-,-,-,"DNM1P41,EFL1P1",Bipolar disorder lithium response (categorical) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs7405404-T,5e-11,-,NR,-,-,-,"ERCC4,TMF1P1",Bipolar disorder lithium response (categorical) or schizophrenia,"bipolar disorder,schizophrenia,response to lithium ion"
rs55637058-A,5e-06,-,0.568,-,0.2677 unit increase,[0.15-0.38],UBE2G1,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs56078032-T,5e-06,-,0.1205,-,0.2879 unit decrease,[0.16-0.41],LINC02761,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs114979248-A,5e-06,-,0.8489,-,0.105 unit increase,[0.06-0.15],"LNCOG,RNU6-1271P","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs1965523-A,6e-06,-,0.3821,-,0.0855 unit increase,[0.048-0.123],TFEC,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs2048997-T,7e-06,-,0.3987,-,0.1973 unit increase,[0.11-0.28],FBXO28,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs2714300-T,7e-06,-,0.8383,-,0.1826 unit decrease,[0.1-0.26],"LRATD1,NBAS","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs12740234-A,7e-06,-,0.372,-,0.1121 unit increase,[0.063-0.161],"PGLYRP3,LORICRIN","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs10736716-C,7e-06,-,0.3639,-,0.0825 unit increase,[0.046-0.119],"LINC02733,FTH1","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs6541857-A,8e-06,-,0.7313,-,0.0872 unit increase,[0.049-0.125],"LINC01823,LINC01826","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs77523578-T,1e-05,-,0.0232,-,0.3978 unit decrease,[0.22-0.57],"SDCBP2-AS1,SDCBP2","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs4858204-A,2e-06,(female),0.4085,-,0.0532 unit decrease,[0.031-0.075],SGO1-AS1,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs1944982-A,7e-06,(female),0.2279,-,0.0789 unit decrease,[0.044-0.113],CCBE1,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs1965523-A,9e-06,(male),0.3821,-,0.0598 unit decrease,[0.033-0.086],TFEC,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs4968712-A,1e-06,(male),0.1671,-,0.0763 unit increase,[0.045-0.107],"RPL31P57,TEX2","Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs150890706-T,6e-06,(male),0.06,-,0.1247 unit decrease,[0.071-0.179],"TCP1P3,RNU1-146P","Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs13359527-A,3e-06,(male),0.9019,-,0.1007 unit decrease,[0.058-0.143],"ADAMTS19,ADAMTS19-AS1","Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
chr11:34642998-D,2e-06,(male),0.1293,-,0.0909 unit decrease,[0.054-0.128],-,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs113785116-A,3e-06,(male),0.9649,-,0.1797 unit decrease,[0.1-0.25],"CARS1P2,Y_RNA","Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs79970796-A,8e-06,(male),0.0131,-,0.5142 unit increase,[0.29-0.74],FTO,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs4701043-A,2e-06,(male),0.6175,-,0.0569 unit decrease,[0.033-0.081],"ZNF354C,ADAMTS2","Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs1890558-A,4e-06,(male),0.6882,-,0.0627 unit decrease,[0.036-0.089],PCSK5,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs1830052-T,3e-06,(male),0.1739,-,0.0721 unit increase,[0.042-0.102],TEX2,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs74984349-A,9e-06,(male),0.9031,-,0.0996 unit decrease,[0.056-0.144],ADAMTS19,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs117780815-T,3e-08,-,NR,-,-,-,NKAIN2,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs12141273-A,4e-07,-,NR,-,-,-,"GPR61,AMIGO1","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs12445424-A,2e-06,-,NR,-,-,[NR],"LINC02181,LINC02188","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs147515485-T,2e-06,-,NR,-,-,[NR],ZNF385C,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs10736716-C,3e-06,-,NR,-,-,[NR],"LINC02733,FTH1","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs704967-T,4e-06,-,NR,-,-,[NR],"RPL35AP8,LYZL4","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs73033497-T,4e-06,-,NR,-,-,[NR],"GNA12,CARD11","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs2714300-C,4e-06,-,NR,-,-,-,"LRATD1,NBAS","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs7897310-A,4e-06,-,NR,-,-,[NR],"MKNK2P1,Y_RNA","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs1543274-G,4e-06,-,NR,-,-,[NR],"C6orf89,PI16","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs2063640-A,5e-06,-,NR,-,-,[NR],"ZPLD1,RNU6-461P","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs10974778-A,5e-06,-,NR,-,-,[NR],"ECM1P1,RCL1","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs11142-A,7e-06,-,NR,-,-,[NR],SORT1,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs11665282-G,8e-06,-,NR,-,-,[NR],MOCOS,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs12685933-C,9e-06,-,NR,-,-,[NR],"KLF9,TRPM3","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs4648996-C,1e-05,-,NR,-,-,[NR],NCMAP,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs10873203-G,1e-05,-,NR,-,-,[NR],TMEM229B,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs11858989-T,1e-06,-,NR,-,-,-,"SLTM,RNF111","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs139414355-T,7e-06,-,NR,-,-,-,DNAJC7,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs73033411-C,7e-06,-,NR,-,-,-,GNA12,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs2063640-A,4e-07,-,0.1128,-,0.186 unit decrease,[0.11-0.26],"ZPLD1,RNU6-461P","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs7914279-T,6e-07,-,0.8927,-,0.1455 unit increase,[0.088-0.203],"PLPP4,RPL21P16","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs73033497-A,9e-07,-,0.8644,-,0.2462 unit increase,[0.15-0.34],"GNA12,CARD11","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs7302529-T,9e-07,-,0.2543,-,0.1327 unit increase,[0.08-0.186],"CSRP2,E2F7","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs9907361-T,1e-06,-,0.2066,-,0.1588 unit decrease,[0.095-0.223],NCBP3,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs8040598-A,1e-06,-,0.8668,-,0.1666 unit increase,[0.099-0.234],THSD4,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs190112169-A,3e-06,-,0.0111,-,0.4479 unit decrease,[0.26-0.63],"NSUN4,FAAH","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs73033497-A,9e-07,-,NR,-,0.2462 unit increase,[0.15-0.34],"GNA12,CARD11","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs9907361-T,1e-06,-,NR,-,0.1588 unit decrease,[0.095-0.223],NCBP3,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs190112169-A,3e-06,-,NR,-,0.4479 unit decrease,[0.26-0.63],"NSUN4,FAAH","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs7914279-T,5e-06,-,NR,-,0.1396 unit increase,[0.08-0.199],"PLPP4,RPL21P16","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs57280117-A,5e-06,-,NR,-,0.0839 unit decrease,[0.048-0.12],"LINC02733,FTH1","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs12898878-T,5e-06,-,NR,-,0.1375 unit decrease,[0.078-0.197],SHC4,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs7911793-T,6e-06,-,NR,-,0.2136 unit decrease,[0.12-0.31],ADAM12,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs12740234-A,7e-06,-,NR,-,0.1154 unit increase,[0.065-0.166],"PGLYRP3,LORICRIN","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs2714300-T,7e-06,-,NR,-,0.1826 unit decrease,[0.1-0.26],"LRATD1,NBAS","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs10179057-T,7e-06,-,NR,-,0.3843 unit increase,[0.22-0.55],LRP1B,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs56078032-T,8e-06,-,NR,-,0.2849 unit decrease,[0.16-0.41],LINC02761,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs6849932-T,8e-06,-,NR,-,0.1981 unit decrease,[0.11-0.29],"LINC02497,LINC02501","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs77523578-T,1e-05,-,NR,-,0.3978 unit decrease,[0.22-0.57],"SDCBP2-AS1,SDCBP2","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs7302529-T,5e-06,(female),NR,-,0.0874 unit increase,[0.05-0.125],"CSRP2,E2F7","Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs4858204-A,4e-06,(female),NR,-,0.0518 unit decrease,[0.03-0.074],SGO1-AS1,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs113785116-A,9e-07,(male),NR,-,0.19 unit decrease,[0.11-0.27],"CARS1P2,Y_RNA","Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs4701043-A,5e-07,(male),NR,-,0.0616 unit decrease,[0.037-0.086],"ZNF354C,ADAMTS2","Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs2130709-A,6e-06,(male),NR,-,0.1655 unit decrease,[0.094-0.237],DCHS2,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs79970796-A,8e-06,(male),NR,-,0.5142 unit increase,[0.29-0.74],FTO,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs4968711-T,4e-06,(male),NR,-,0.0717 unit decrease,[0.041-0.102],TEX2,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs1890558-A,4e-06,(male),NR,-,0.0627 unit decrease,[0.036-0.089],PCSK5,"Schizophrenia, bipolar disorder or major depressive disorder","bipolar disorder,schizophrenia,major depressive disorder"
rs117780815-T,3e-08,-,NR,-,-,[NR],NKAIN2,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs12141273-A,4e-07,-,NR,-,-,[NR],"GPR61,AMIGO1","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs431414-T,5e-07,-,NR,-,-,[NR],MINDY2,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs7302529-T,2e-06,-,NR,-,-,[NR],"CSRP2,E2F7","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs35477914-T,9e-07,-,NR,-,-,-,"RNF111,SLTM","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs7897310-A,1e-06,-,NR,-,-,-,"MKNK2P1,Y_RNA","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs147515485-T,2e-06,-,NR,-,-,-,ZNF385C,"Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs7823749-A,3e-06,-,NR,-,-,-,"PAG1,LNMICC","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs2063640-A,3e-06,-,NR,-,-,-,"ZPLD1,RNU6-461P","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs704967-T,4e-06,-,NR,-,-,-,"RPL35AP8,LYZL4","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
rs73033497-T,4e-06,-,NR,-,-,-,"GNA12,CARD11","Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)","bipolar disorder,schizophrenia,sex interaction measurement,major depressive disorder"
